Wojewodztwo,Specjalizacja,Priorytet,Szpital,Adres,Dodatkowe Info,Highlight,Liczba Miejsc w trybie rezydenckim,Liczba Miejsc w trybie pozarezydenckich,Liczba Miejsc
Pomorskie,Chirurgia dziecięca,True,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chirurgii i Urologii Dzieci","ul. Nowe Ogrody 1-6
80-803 Gdańsk",Trójmiasto,False,7 (0),1,1
Pomorskie,Chirurgia dziecięca,True,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Oddział chirurgiczny ogólny dla dzieci","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,False,7 (0),1,2
Pomorskie,Chirurgia dziecięca,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Specjalistyczny im. F.Ceynowy Oddział Chirurgii
Dziecięcej","ul. dr. Alojzego
Jagalskiego 10
84-200 Wejherowo",Zadupie,False,7 (0),1,1
Pomorskie,Chirurgia dziecięca,True,"Uniwersyteckie Centrum Kliniczne
Klinika Chirurgii i Urologii Dzieci i Młodzieży","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,7 (0),1,4
Pomorskie,Chirurgia klatki piersiowej,False,"Uniwersyteckie Centrum Kliniczne
Klinika Chirurgii Klatki Piersiowej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,1 (0),1,2
Pomorskie,Chirurgia naczyniowa,False,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Św. Wincentego a Paulo Oddział Chirurgii
Naczyniowej","ul. Wójta Radtkego 1
81-348 Gdynia",Trójmiasto,False,4 (0),3,0
Pomorskie,Chirurgia naczyniowa,False,"Uniwersyteckie Centrum Kliniczne
Klinika Kardiochirurgii i Chirurgii Naczyniowej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,4 (0),3,0
Pomorskie,Chirurgia naczyniowa,False,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ Oddział chirurgii naczyniowej","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,False,4 (0),3,0
Pomorskie,Chirurgia ogólna,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital św. Wincentego a Paulo Oddział Chirurgiczny Ogólny","ul. Wójta Radtkego 1
81-348 Gdynia",Trójmiasto,False,20 (0),17,1
Pomorskie,Chirurgia ogólna,True,"Szpital Miejski w Miastku Sp. z o.o.
Oddział Chirurgiczny Ogólny","ul. gen. Wybickiego 30
77-200 Miastko",Zadupie,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"Szpital Powiatu Bytowskiego Sp. z o.o.
Oddział Chirurgiczny Ogólny z Pododdziałem Chirurgii
Urazowo Ortopedycznej","ul. Lęborska 13
77-100 Bytów",Zadupie,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"Uniwersyteckie Centrum Kliniczne
Klinika Chirurgii Onkologicznej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Morski im. PCK Oddział Chirurgii Onkologicznej z
Pododdziałem Chirurgii Nowotworów Piersi, Skóry i Tkanek
Miękkich","ul. Powstania
Styczniowego 1
81-519 Gdynia",Trójmiasto,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Oddział chirurgii onkologicznej","ul. Hubalczyków 1
6-200 Słupsk",Zadupie,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Szpital św. Wojciecha, Oddział Chirurgii Ogólnej i
Onkologicznej","ul. al. Jana Pawla II 50
80-462 Gdańsk",Trójmiasto,False,20 (0),17,1
Pomorskie,Chirurgia ogólna,True,"Uniwersyteckie Centrum Kliniczne
Klinika Chirurgii Onkologicznej, Transplantacyjnej i Ogólnej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,20 (0),17,2
Pomorskie,Chirurgia ogólna,True,"Szpital Specjalistyczny im. J. K. Łukowicza w Chojnicach
Oddział Chirurgii Ogólnej","ul. Leśna 10
89-600 Chojnice",Zadupie,False,20 (0),17,4
Pomorskie,Chirurgia ogólna,True,"Powiatowe Centrum Zdrowia Sp. z o.o.
SZPITAL POWIATOWY W KARTUZACH IM. DR ALEKSANDRA
MAJKOWSKIEGO Oddział Chirurgii Ogólnej","ul. Floriana Ceynowy 7
83-300 Kartuzy",Zadupie,False,20 (0),17,-1
Pomorskie,Chirurgia ogólna,True,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chirurgii Ogólnej","ul. Nowe Ogrody 1-6
80-803 Gdańsk",Trójmiasto,False,20 (0),17,2
Pomorskie,Chirurgia ogólna,True,"POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział chirurgiczny ogólny","ul. Aleja Armii Krajowej
105/106
82-200 Malbork",Zadupie,False,20 (0),17,2
Pomorskie,Chirurgia ogólna,True,"SZPITAL SPECJALISTYCZNY W PRABUTACH SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chirurgii Ogólnej","ul. Kuracyjna 30
82-550 Prabuty",Zadupie,False,20 (0),17,1
Pomorskie,Chirurgia ogólna,True,"Szpital Specjalistyczny w Kościerzynie Sp. z o.o.
Oddział Chirurgiczny Ogólny","ul. Alojzego
Piechowskiego 36
83-400 Kościerzyna",Zadupie,False,20 (0),17,-1
Pomorskie,Chirurgia ogólna,True,"Samodzielny Publiczny Specjalistyczny Zakład Opieki
Zdrowotnej
Oddział Chirurgiczny Ogólny","ul. Juliana
Węgrzynowicza 13
84-300 Lębork",Zadupie,False,20 (0),17,1
Pomorskie,Chirurgia ogólna,True,"""Szpitale Polskie"" Spółka Akcyjna
Szpital Polski Sztum Oddział Chirurgii Ogólnej","ul. Reja 12
82-400 Sztum",Zadupie,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"Szpitale Tczewskie Spółka Akcyjna
Oddział Chirurgiczny","ul. 30 Stycznia 57
83-110 Tczew",Zadupie,False,20 (0),17,-1
Pomorskie,Chirurgia ogólna,True,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ, Oddział chirurgiczny ogólny","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,False,20 (0),17,2
Pomorskie,Chirurgia ogólna,True,"KOCIEWSKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Św. Jana Oddział Chirurgiczny Ogólny","ul. dra Józefa 
Balewskiego 1 83-200 Starogard",Zadupie,False,20 (0),17,1
Pomorskie,Chirurgia ogólna,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Specjalistyczny im. F. Ceynowy, Oddział Chirurgii
Ogólnej i Onkologicznej","ul. dr. Alojzego
Jagalskiego 10
84-200 Wejherowo",Zadupie,False,20 (0),17,0
Pomorskie,Chirurgia ogólna,True,"""ZDROWIE"" SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Oddział chirurgiczny","ul. gen. Józefa Hallera 31
82-500 Kwidzyn",Zadupie,False,20 (0),17,0
Pomorskie,Chirurgia onkologiczna,True,"SZPITAL SPECJALISTYCZNY W KOŚCIERZYNIE SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chirurgiczny z Pododdziałem Chirurgii
Onkologicznej","ul. Alojzego
Piechowskiego 36
83-400 Kościerzyna",Zadupie,False,5 (0),2,-1
Pomorskie,Chirurgia onkologiczna,True,"Uniwersyteckie Centrum Kliniczne
Klinika Chirurgii Onkologicznej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,5 (0),2,1
Pomorskie,Chirurgia onkologiczna,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Morski im. PCK Oddział Chirurgii Onkologicznej z
Pododdziałem Chirurgii Nowotworów Piersi, Skóry i Tkanek
Miękkich","ul. Powstania
Styczniowego 1
81-519 Gdynia",Trójmiasto,False,5 (0),2,3
Pomorskie,Chirurgia onkologiczna,True,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Oddział chirurgii onkologicznej","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,False,5 (0),2,1
Pomorskie,Chirurgia plastyczna,False,"Uniwersyteckie Centrum Kliniczne
Klinika Chirurgii Plastycznej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,0 (0),3,3
Pomorskie,Chirurgia stomatologiczna,False,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital św. Wincentego a Paulo Oddział Chirurgii Szczękowej
z pododdziałem dla dzieci","ul. Wójta Radtkego 1
81-348 Gdynia",Trójmiasto,False,5 (0),0,0
Pomorskie,Chirurgia stomatologiczna,False,"MED-ORAL Spółka z ograniczoną odpowiedzialnością
Poradnia chirurgii stomatologicznej","ul. I Dywizji Wojska
Polskiego 29 A
84-230 Rumia",Zadupie,False,5 (0),0,0
Pomorskie,Chirurgia stomatologiczna,False,"Uniwersyteckie Centrum Kliniczne
Klinika Otolaryngologii z Oddziałem Chirurgii Szczękowo-Twarzowej","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,5 (0),0,0
Pomorskie,Chirurgia stomatologiczna,False,"Uniwersyteckie Centrum Stomatologiczne Gdańskiego
Uniwersytetu Medycznego spółka z ograniczoną
odpowiedzialnością
Poradnia Chirurgii Stomatologicznej","ul. Dębowa 1A
80-204 Gdańsk",Trójmiasto,False,5 (0),0,"(4)
przewidywana
rezygnacja z
miejsc
akredytacyjnych"
Pomorskie,Chirurgia stomatologiczna,False,"CENTRAL EUROPEAN OSSEOINTEGRATION CENTRE -KLINIKA IMPLANTOLOGII STOMATOLOGICZNEJ SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PRZYCHODNIA CHIRURGII STOMATOLOGICZNEJ CEOC","ul. Aleja Zwycięstwa 48
80-210 Gdańsk",Trójmiasto,False,5 (0),0,0
Pomorskie,Chirurgia szczękowo-twarzowa,False,Uniwersyteckie Centrum Kliniczne Klinika Otolaryngologii z Oddziałem Chirurgii Szczękowo-Twarzowej,"ul. Mariana
Smoluchowskiego 17 80-214 Gdańsk",Trójmiasto,False,0 (0),0,1
Pomorskie,Choroby płuc,False,"SZPITAL SPECJALISTYCZNY W PRABUTACH SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Gruźlicy i Chorób Płuc z Pododdziałem Gruźlicy","ul. Kuracyjna 30
82-550 Prabuty",Zadupie,False,3 (0),1,1
Pomorskie,Choroby płuc,False,"Szpital Specjalistyczny im. J. K. Łukowicza w Chojnicach
Oddział Pulmonologiczny","ul. Leśna 10
89-600 Chojnice",Zadupie,False,3 (0),1,0
Pomorskie,Choroby płuc,False,"Uniwersyteckie Centrum Kliniczne
Klinika Alergologii i Pneumonologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,3 (0),1,4
Pomorskie,Choroby płuc,False,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Specjalistyczny im. F. Ceynowy, Oddział Chorób Płuc","ul. dr. Alojzego
Jagalskiego 10
84-200 Wejherowo",Zadupie,False,3 (0),1,3
Pomorskie,Choroby płuc dzieci,False,"SZPITAL DZIECIĘCY POLANKI IM. MACIEJA PŁAŻYŃSKIEGO W
GDAŃSKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział alergologii, immunologii i chorób płuc","ul. Polanki 119
80-308 Gdańsk",Trójmiasto,False,0 (0),4,3
Pomorskie,Choroby płuc dzieci,False,"SZPITAL DZIECIĘCY POLANKI IM. MACIEJA PŁAŻYŃSKIEGO W
GDAŃSKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział pediatrii i mukowiscydozy","ul. Polanki 119
80-308 Gdańsk",Trójmiasto,False,0 (0),4,1
Pomorskie,Choroby wewnętrzne,True,"POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział chorób wewnętrznych","ul. Dworcowa 12
82-100 Nowy Dwór
Gdański",Trójmiasto,False,30 (1),293,1
Pomorskie,Choroby wewnętrzne,True,"COPERNICUS Podmiot Leczniczy Sp. z o.o.
Szpital św. Wojciecha w Gdańsku Oddział Chorób
Wewnętrznych","ul. al. Jana Pawła II 50
80-462 Gdańsk",Trójmiasto,False,30 (1),293,15
Pomorskie,Choroby wewnętrzne,True,"""Szpitale Polskie"" Spółka Akcyjna
Szpital Polski Sztum Oddział Internistyczny","ul. Reja 12
82-400 Sztum",Zadupie,False,30 (1),293,5
Pomorskie,Choroby wewnętrzne,True,"Szpitale Tczewskie Spółka Akcyjna
Oddział Chorób Wewnętrznych","ul. 30-go Stycznia 57/58
83-110 Tczew",Zadupie,False,30 (1),293,7
Pomorskie,Choroby wewnętrzne,True,"Szpitale Pomorskie Sp. z o.o.
Szpital Specjalistyczny im. F. Ceynowy, Oddział Chorób
Wewnętrznych, Gastroenterologii i Geriatrii","ul. dr. Alojzego
Jagalskiego 10
84-200 Wejherowo",Zadupie,False,30 (1),293,8
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Alergologii i Pneumonologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,30 (1),293,6
Pomorskie,Choroby wewnętrzne,True,"Szpital Specjalistyczny im. J. K. Łukowicza w Chojnicach
Oddział Chorób Wewnętrznych","ul. Leśna 10
89-600 Chojnice",Zadupie,False,30 (1),293,4
Pomorskie,Choroby wewnętrzne,True,"Samodzielny Publiczny Zakład Opieki Zdrowotnej
Szpital Rejonowy Oddział Chorób Wewnętrznych","ul. Szczecińska 31
77-300 Człuchów",Zadupie,False,30 (1),293,8
Pomorskie,Choroby wewnętrzne,True,"Szpital Powiatu Bytowskiego Sp. z o.o.
Pion Opieki Stacjonarnej Oddział Chorób Wewnętrznych","ul. Lęborska 13
77-100 Bytów",Zadupie,False,30 (1),293,3
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Nefrologii, Transplantologii i Chorób Wewnętrznych","ul. Dębinki 7
80-952 Gdańsk",Trójmiasto,False,30 (1),293,8
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Gastroenterologii i Hepatologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,30 (1),293,7
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Chorób Wewnętrznych, Chorób Tkanki Łącznej i
Geriatrii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,30 (1),293,2
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Endokrynologii i Chorób Wewnętrznych","ul. Dębinki 7
80-952 Gdańsk",Trójmiasto,False,30 (1),293,4
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Hematologii i Transplantologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,30 (1),293,6
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Kliniczne
Klinika Nadciśnienia Tętniczego i Diabetologii","ul. Mariana
Smoluchowskiego 17
80-214 Gdańsk",Trójmiasto,False,30 (1),293,2
Pomorskie,Choroby wewnętrzne,True,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Szpital św. Wojciecha, Oddział Kardiologiczny","ul. al. Jana Pawła II 50
80-462 Gdańsk",Trójmiasto,False,30 (1),293,12
Pomorskie,Choroby wewnętrzne,True,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chorób Wewnętrznych i Diabetologii","ul. Powstańców
Warszawskich 1/2, 80-152 Gdańsk",Trójmiasto,False,30 (1),293,4
Pomorskie,Choroby wewnętrzne,True,"COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chorób Wewnętrznych i Hipertensjologii","ul. Nowe Ogrody 1-6
80-803 Gdańsk",Trójmiasto,False,30 (1),293,4
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Medycyny Morskiej i Tropikalnej
Klinika Kardiologii i Chorób Wewnętrznych","ul. Powstania
Styczniowego 9B
81-519 Gdynia",Trójmiasto,False,30 (1),293,3
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Medycyny Morskiej i Tropikalnej
Klinika Chorób Zawodowych i Wewnętrznych","ul. Powstania
Styczniowego 9B
81-519 Gdynia",Trójmiasto,False,30 (1),293,1
Pomorskie,Choroby wewnętrzne,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Św. Wincentego a Paulo Oddział Kardiologiczny","ul. Wójta Radtkego 1
81-346 Gdynia",Trójmiasto,False,30 (1),293,12
Pomorskie,Choroby wewnętrzne,True,"Powiatowe Centrum Zdrowia Sp. z o.o.
SZPITAL POWIATOWY W KARTUZACH IM. DR ALEKSANDRA
MAJKOWSKIEGO Oddział Chorób Wewnętrznych","ul. Floriana Ceynowy 7
83-300 Kartuzy",Zadupie,False,30 (1),293,3
Pomorskie,Choroby wewnętrzne,True,"SZPITAL SPECJALISTYCZNY W KOŚCIERZYNIE SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chorób Wewnętrznych z pracownią diagnostyki
endoskopowej","ul. Alojzego
Piechowskiego 36
83-400 Kościerzyna",Zadupie,False,30 (1),293,1
Pomorskie,Choroby wewnętrzne,True,"Uniwersyteckie Centrum Medycyny Morskiej i Tropikalnej
Klinika Chorób Tropikalnych i Pasożytniczych","ul. Powstania
Styczniowego 9B
81-519 Gdynia",Trójmiasto,False,30 (1),293,0
Pomorskie,Choroby wewnętrzne,True,"SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Św. Wincentego a Paulo Oddział Chorób
Wewnętrznych","ul. Wójta Radtkego 1
81-346 Gdynia",Trójmiasto,False,30 (1),293,13
Pomorskie,Choroby wewnętrzne,True,"POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział chorób wewnętrznych","ul. Aleja Armii Krajowej
105/106
82-200 Malbork",Zadupie,False,30 (1),293,7
Pomorskie,Choroby wewnętrzne,True,"Szpital Miejski w Miastku Sp. z o.o.
Oddział Chorób Wewnętrznych","ul. gen. Wybickiego 30
77-200 Miastko",Zadupie,False,30 (1),293,4
Pomorskie,Choroby wewnętrzne,True,"""Zdrowie"" Sp. z o.o.
NZOZ Oddział Wewnętrzny","ul. Józefa Hallera 31
82-500 Kwidzyn",Zadupie,False,30 (1),293,8
Pomorskie,Choroby wewnętrzne,True,"Samodzielny Publiczny Specjalistyczny Zakład Opieki
Zdrowotnej
Oddział Chorób Wewnętrznych, Kardiologii i Rehabilitacji
Kardiologicznej","ul. Juliana
Węgrzynowicza 13
84-300 Lębork",Zadupie,False,30 (1),293,8
Pomorskie,Choroby wewnętrzne,True,"Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka w
Słupsku Sp. z o.o.
Oddział kardiologiczny","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,False,30 (1),293,6
Pomorskie,Choroby wewnętrzne,True,"WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA
KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Oddział chorób wewnętrznych","ul. Hubalczyków 1
76-200 Słupsk",Zadupie,False,30 (1),293,5
Pomorskie,Choroby wewnętrzne,True,"SZPITAL SPECJALISTYCZNY W PRABUTACH SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Oddział Chorób Wewnętrznych","ul. Kuracyjna 30
82-550 Prabuty",Zadupie,False,30 (1),293,5
Pomorskie,Choroby wewnętrzne,True,"Szpital Pucki Sp. z o.o.
Oddział Chorób Wewnętrznych","ul. 1 Maja 13A
84-100 Puck",Zadupie,False,30 (1),293,4
Pomorskie,Choroby wewnętrzne,True,"KOCIEWSKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ
Szpital Św. Jana Oddział Chorób Wewnętrznych","ul. dra Józefa
Balewskiego 1
83-200 Starogard
Gdański",Zadupie,False,30 (1),293,2
