specialization;upper_place;place;address;availability
"Anestezjologia i 
intensywna terapia";Specjalistyczny Szpital Wojewódzki w Ciechanowie;"Oddział Anestezjologii i
Intensywnej Terapii";ul. Powstańców Wielkopolskich 2 06-400 Ciechanów;7
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Specjalistyczny Szpital Zachodni
im. św. Jana Pawła II";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Daleka 11 05-825 Grodzisk
Mazowiecki";0
"Anestezjologia i 
intensywna terapia";"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W
PŁOŃSKU";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Henryka Sienkiewicza 7 09-100
Płońsk";1
"Anestezjologia i 
intensywna terapia";"MAZOWIECKIE CENTRUM REHABILITACJI ""STOCER""
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Anestezjologii i
Intensywnej Terapii";ul. Warsztatowa 1 05-800 Pruszków;2
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Ostrowi Mazowieckiej";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Stanisława Duboisa 68 07-300
Ostrów Mazowiecka";2
"Anestezjologia i 
intensywna terapia";Wojewódzki Szpital Zespolony;"Oddział Anestezjologii i
Intensywnej Terapii";ul. Medyczna 19 09-400 Płock;7
"Anestezjologia i 
intensywna terapia";"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Adolfa Tochtermana 1 26-610
Radom";5
"Anestezjologia i 
intensywna terapia";"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w
Siedlcach Spółka z ograniczoną odpowiedzialnością";"Siedlecki Szpital Specjalistyczny
Oddział Anestezjologii i
Intensywnej Terapii";"ul. Księcia Józefa Poniatowskiego 26
08-110 Siedlce";2
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Przasnyszu";"Oddział Intensywnej Terapii i
Anestezjologii";ul. Sadowa 9 06-300 Przasnysz;4
"Anestezjologia i 
intensywna terapia";"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kliniczny Oddział Anestezjologii,
Intensywnej Terapii i Leczenia
Bólu";"ul. Juliana Aleksandrowicza 5 26-617
Radom";7
"Anestezjologia i 
intensywna terapia";"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"II Klinika Anestezjologii i
Intensywnej Terapii";"ul. Stefana Banacha 1A 02-097
Warszawa";0
"Anestezjologia i 
intensywna terapia";Międzyleski Szpital Specjalistyczny w Warszawie;"Oddział Anestezjologii i
Intensywnej Terapii";ul. Bursztynowa 2 04-749 Warszawa;1
"Anestezjologia i 
intensywna terapia";"Zespół Opieki Zdrowotnej ""Szpitala Powiatowego"" w
Sochaczewie";"Oddział Anestezjologii i
Intensywnej Terapii";ul. Batalionów Chłopskich 3/7 96-500 Sochaczew;4
"Anestezjologia i 
intensywna terapia";"Instytut ""Pomnik - Centrum Zdrowia Dziecka""";"Klinika Anestezjologii i
Intensywnej Terapii";"ul. Aleja Dzieci Polskich 20 04-730
Warszawa";2
"Anestezjologia i 
intensywna terapia";"SZPITAL GROCHOWSKI IM.DR MED. RAFAŁA MASZTAKA
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Intensywnej Terapii i
Anestezjologii";"ul. Grenadierów 51/59 04-073
Warszawa";1
"Anestezjologia i 
intensywna terapia";"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Ludwika Kondratowicza 8 03-242
Warszawa";0
"Anestezjologia i 
intensywna terapia";"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";"Oddział Intensywnej Terapii i
Anestezjologii";ul. Cegłowska 80 01-809 Warszawa;0
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Szpital Kliniczny im. prof. W.
Orłowskiego Centrum Medycznego Kształcenia
Podyplomowego";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Czerniakowska 231 00-416
Warszawa";1
"Anestezjologia i 
intensywna terapia";"SZPITAL PRASKI P.W. PRZEMIENIENIA PAŃSKIEGO
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Intensywnej Terapii i
Anestezjologii";"ul. Aleja Solidarności 67 03-401
Warszawa";0
"Anestezjologia i 
intensywna terapia";Szpital Czerniakowski Sp. z o.o.;"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Stępińska 19/25 00-739
Warszawa";0
"Anestezjologia i 
intensywna terapia";"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";Oddział Intensywnej Terapii;ul. Williama Heerleina Lindleya 4 02-005 Warszawa;0
"Anestezjologia i 
intensywna terapia";"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ-CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY";"Oddział Kliniczny Anestezjologii i
Intensywnej Terapii";"ul. Wilhelma Konrada Roentgena 5
02-781 Warszawa";0
"Anestezjologia i 
intensywna terapia";Szpital Matki Bożej Nieustającej Pomocy w Wołominie;"Oddział Anestezjologii i
Intensywnej Terapii";ul. Gdyńska 1/3 05-200 Wołomin;0
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Garwolinie";Oddział intensywnej terapii;ul. Lubelska 50 08-400 Garwolin;0
"Anestezjologia i 
intensywna terapia";"Samodzielny Publiczny Zakład Opieki Zdrowotnej - Zespół
Zakładów";"Oddział Anestezjologii i
Intensywnej Terapii";"ul. Wincentego Witosa 2 06-200
Maków Mazowiecki";1
Angiologia;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chorób Wewnętrznych,
Nadciśnienia Tętniczego i
Angiologii";"ul. Stefana Banacha 1A 02-097
Warszawa";0
Angiologia;"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";Oddział Kardiologiczny;ul. Williama Heerleina Lindleya 4 02-005 Warszawa;4
Angiologia;"Samodzielny Publiczny Centralny Szpital Kliniczny w
Warszawie";"Klinika Chirurgii Ogólnej,
Naczyniowej i Transplantacyjnej";"ul. Stefana Banacha 1A 02-097
Warszawa";0
Angiologia;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej,
Endokrynologicznej i Chorób
Naczyń";"ul. Stefana Banacha 1A 02-097
Warszawa";0
Audiologia i foniatria;Centrum Słuchu i Mowy Sp. z o.o.;"Międzynarodowe Centrum Słuchu
i Mowy - Grupa ""Medincus"",
Oddział Otolaryngologiczny";"ul. Mokra 7, Kajetany 7 05-830
Nadarzyn";0
Audiologia i foniatria;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Oddział Kliniczny Otolaryngologii,
Audiologii, Foniatrii i Onkologii
Laryngologicznej";"ul. Stefana Banacha 1A 02-097
Warszawa";6
Audiologia i foniatria;"Instytut ""Pomnik - Centrum Zdrowia Dziecka""";Ośrodek Audiologii i Foniatrii;"ul. Aleja Dzieci Polskich 20 04-730
Warszawa";2
Audiologia i foniatria;Instytut Fizjologii i Patologii Słuchu;"Instytut Fizjologii i Patologii
Słuchu";ul. Maurycego Mochnackiego 10 02-042 Warszawa;20
Audiologia i foniatria;"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";Zespół Oddziałów Otolaryngologii;"ul. Ludwika Kondratowicza 8 03-242
Warszawa";0
"Balneologia i medycyna
fizykalna";Nipubliczny Zakład Opieki Zdrowotnej PROMIEŃ;"Oddział Rehabilitacji, Oddział
Rehabilitacji Dziennej, Zakład
Rehablitacji, Zakład Balneologii";ul. Mariówka 1 26-400 Przysucha;0
"Balneologia i medycyna
fizykalna";"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";Zakład Fizykoterapii i Rehabilitacji;ul. Cegłowska 80 01-809 Warszawa;2
"Balneologia i medycyna
fizykalna";"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";Zakład Rehabilitacji i Fizykoterapii;"ul. Ludwika Kondratowicza 8 03-242
Warszawa";0
Chirurgia dziecięca;"Warszawski Szpital dla Dzieci - Samodzielny Publiczny
Zakład Opieki Zdrowotnej";Oddział Chirurgii i Ortopedii;"ul. Mikołaja Kopernika 43 00-328
Warszawa";0
Chirurgia dziecięca;Wojewódzki Szpital Zespolony;"Oddział Chirurgii Dziecięcej i
Poradnia Chirurgii Dziecięcej";ul. Medyczna 19 09-400 Płock;1
Chirurgia dziecięca;"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chirurgii Dziecięcej z
Poradnią Chirurgii dla Dzieci";"ul. Juliana Aleksandrowicza 5 26-617
Radom";1
Chirurgia dziecięca;Specjalistyczny Szpital Wojewódzki w Ciechanowie;Oddział Chirurgii Dziecięcej;ul. Powstańców Wielkopolskich 2 06-400 Ciechanów;2
Chirurgia dziecięca;"Samodzielny Zespół Publicznych Zakładów Opieki
Zdrowotnej im. Dzieci Warszawy w Dziekanowie Leśnym";Kliniczny Oddział Chirurgii -Centrum Leczenia Kamicy;"ul. Marii Konopnickiej 65 05-092
Dziekanów Leśny";1
Chirurgia dziecięca;Instytut Matki i Dziecka;Klinika Chirurgii Dzieci i Młodzieży;"ul. Marcina Kasprzaka 17A 01-211
Warszawa";2
Chirurgia dziecięca;"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";"Oddział Kliniczny Chirurgii i
Urologii Dziecięcej i Pediatrii";"ul. Żwirki i Wigury 63A 02-091
Warszawa";0
Chirurgia dziecięca;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w
Siedlcach Spółka z ograniczoną odpowiedzialnością";"Siedlecki Szpital Specjalistyczny
Oddział Chirurgii i Traumatologii
Dziecięcej";"ul. Księcia Józefa Poniatowskiego 26
08-110 Siedlce";0
Chirurgia dziecięca;"Instytut ""Pomnik - Centrum Zdrowia Dziecka""";"Klinika Chirurgii Dziecięcej i
Transplantacji Narządów";"ul. Aleja Dzieci Polskich 20 04-730
Warszawa";0
Chirurgia dziecięca;"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";"Oddział Kliniczny Kardiochirurgii i
Chirurgii Dziecięcej";"ul. Żwirki i Wigury 63A 02-091
Warszawa";1
Chirurgia dziecięca;"Szpital Dziecięcy im.prof.dr.med.Jana Bogdanowicza
Samodzielny Publiczny Zakład Opieki Zdrowotnej";"Oddział Chirurgii i Urologii
Dziecięcej z Pododdziałem
Leczenia Oparzeń";"ul. Niekłańska 4/24 03-924
Warszawa";0
"Chirurgia klatki
piersiowej";"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ-CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY";"Oddział Zabiegowy Kliniki
Nowotworów Płuca i Klatki
Piersiowej";"ul. Wilhelma Konrada Roentgena 5
02-781 Warszawa";0
"Chirurgia klatki
piersiowej";Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy;Oddział Chirurgii Klatki Piersiowej;"ul. Władysława Stanisława Reymonta
83/91 05-400 Otwock";2
"Chirurgia klatki
piersiowej";Instytut Gruźlicy i Chorób Płuc;Klinika Chirurgii;ul. Płocka 26 01-136 Warszawa;4
Chirurgia naczyniowa;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej
Naczyniowej i Transplantacyjnej";"ul. Stefana Banacha 1A 02-097
Warszawa";1
Chirurgia naczyniowa;Międzyleski Szpital Specjalistyczny w Warszawie;"Oddział chirurgii ogólnej,
Pododdział chirurgii naczyniowej,
Pododdział chirurgii onkologicznej";ul. Bursztynowa 2 04-749 Warszawa;0
Chirurgia naczyniowa;"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";"Oddział Chirurgii Naczyniowej -Klinika Chirurgii Naczyniowej i
Angiologii CMKP";ul. Cegłowska 80 01-809 Warszawa;1
Chirurgia naczyniowa;"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";"Zespół Oddziałów Chirurgii
Ogólnej, Naczyniowej i
Onkologicznej, I Katedra i Klinika
Chirurgii Ogólnej i Naczyniowej
Wydziału Lekarskiego WUM";"ul. Ludwika Kondratowicza 8 03-242
Warszawa";2
Chirurgia naczyniowa;"SZPITAL PRASKI P.W. PRZEMIENIENIA PAŃSKIEGO
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Pododdział Chirurgii Naczyniowej;"ul. Aleja Solidarności 67 03-401
Warszawa";1
Chirurgia naczyniowa;"Narodowy Instytut Kardiologii Stefana Kardynała
Wyszyńskiego - Państwowy Instytut Badawczy";Klinika Chirurgii Naczyniowej;ul. Alpejska 42 04-628 Warszawa;1
Chirurgia naczyniowa;"SZPITAL WOLSKI IM. DR ANNY GOSTYŃSKIEJ SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Oddział Chirurgii Naczyniowej;"ul. Marcina Kasprzaka 17 01-211
Warszawa";0
Chirurgia naczyniowa;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej,
Endokrynologicznej i Chorób
Naczyń";"ul. Stefana Banacha 1A 02-097
Warszawa";0
Chirurgia naczyniowa;"Mazowiecki Szpital Specjalistyczny im. dr. Józefa
Psarskiego w Ostrołęce";"Oddział Chirurgii Ogólnej im. dr
Jerzego Olszewskiego z
Pododdziałem Chirurgii
Naczyniowej i Poradnią Chirurgii
Naczyniowej";"ul. Aleja Jana Pawła II 120A 07-410
Ostrołęka";0
Chirurgia naczyniowa;"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";"Oddział Chirurgii Naczyniowej im.
dr n.med. Tadeusza
Chmielińskiego";"ul. Adolfa Tochtermana 1 26-610
Radom";3
Chirurgia naczyniowa;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w
Siedlcach Spółka z ograniczoną odpowiedzialnością";"Siedlecki Szpital Specjalistyczny
Oddział Chirurgii Ogólnej i
Naczyniowej";"ul. Księcia Józefa Poniatowskiego 26
08-110 Siedlce";1
Chirurgia ogólna;"SZPITAL POWIATOWY GAJDA-MED SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Oddział Chirurgii Ogólnej;"ul. Teofila Kwiatkowskiego 19 06-102
Pułtusk";3
Chirurgia ogólna;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Nowym Mieście nad Pilicą";Oddział Chirurgii Ogólnej;"ul. Tomaszowska 43 26-420 Nowe
Miasto nad Pilicą";1
Chirurgia ogólna;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej
Naczyniowej i Transplantacyjnej";"ul. Stefana Banacha 1A 02-097
Warszawa";9
Chirurgia ogólna;Międzyleski Szpital Specjalistyczny w Warszawie;"Oddział chirurgii ogólnej,
Pododdział chirurgii naczyniowej,
Pododdział chirurgii onkologicznej";ul. Bursztynowa 2 04-749 Warszawa;0
Chirurgia ogólna;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej,
Gastroenterologicznej i
Onkologicznej";"ul. Stefana Banacha 1A 02-097
Warszawa";2
Chirurgia ogólna;"Samodzielny Publiczny Szpital Kliniczny im. prof. W.
Orłowskiego Centrum Medycznego Kształcenia
Podyplomowego";"Oddział Kliniczny Chirurgii
Ogólnej, Onkologicznej i
Bariatrycznej, Klinika Chirurgii
Ogólnej, Onkologicznej i
Bariatrycznej CMKP";"ul. Czerniakowska 231 00-416
Warszawa";0
Chirurgia ogólna;"SZPITAL GROCHOWSKI IM.DR MED. RAFAŁA MASZTAKA
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chirurgii Ogólnej,
Onkologicznej i Rekonstrukcyjnej";"ul. Grenadierów 51/59 04-073
Warszawa";0
Chirurgia ogólna;"Mazowieckie Centrum Rehabilitacji ""STOCER"" Sp. z o.o.";"Szpital Chirurgii Urazowej św.
Anny, Oddział Chirurgii Ogólnej i
Gastroenterologicznej";ul. Barska 16/20 02-384 Warszawa;2
Chirurgia ogólna;"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";"Oddział Chirurgiczny Ogólny,
Klinika Chirurgii Kolorektalnej,
Ogólnej i Onkologicznej CMKP";ul. Cegłowska 80 01-809 Warszawa;1
Chirurgia ogólna;Szpital Kliniczny Dzieciątka Jezus;"Klinika Chirurgii Ogólnej i
Transplantacyjnej";ul. Williama Heerleina Lindleya 4 02-005 Warszawa;1
Chirurgia ogólna;"WARSZAWSKI SZPITAL POŁUDNIOWY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chirurgii Ogólnej i
Proktologicznej";"ul. rtm. Witolda Pileckiego 99 02-781
Warszawa";1
Chirurgia ogólna;"SZPITAL WOLSKI IM. DR ANNY GOSTYŃSKIEJ SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kliniczny Oddział chirurgii ogólnej
i onkologicznej z częścią urazową";"ul. Marcina Kasprzaka 17 01-211
Warszawa";3
Chirurgia ogólna;"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";"Zespół Oddziałów Chirurgii
Ogólnej, Naczyniowej i
Onkologicznej, I Katedra i Klinika
Chirurgii Ogólnej i Naczyniowej
Wydziału Lekarskiego WUM";"ul. Ludwika Kondratowicza 8 03-242
Warszawa";6
Chirurgia ogólna;"SZPITAL PRASKI P.W. PRZEMIENIENIA PAŃSKIEGO
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chirurgii Ogólnej i
Onkologicznej";"ul. Aleja Solidarności 67 03-401
Warszawa";0
Chirurgia ogólna;"SZPITAL CZERNIAKOWSKI SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ";Oddział Chirurgiczny Ogólny;"ul. Stępińska 19/25 00-739
Warszawa";1
Chirurgia ogólna;Specjalistyczny Szpital Wojewódzki w Ciechanowie;"Oddział Chirurgii Ogólnej,
Onkologicznej i Bariatrycznej";ul. Powstańców Wielkopolskich 2 06-400 Ciechanów;2
Chirurgia ogólna;"POWIATOWE CENTRUM MEDYCZNE W GRÓJCU SPÓŁKA
Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Oddział Chirurgii Ogólnej;"ul. Księdza Piotra Skargi 10 05-600
Grójec";2
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej Szpital w Iłży";Dział Chirurgii Ogólnej;ul. dr Anki 4 27-100 Iłża;2
Chirurgia ogólna;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Garwolinie";Oddział Chirurgiczny;ul. Lubelska 50 08-400 Garwolin;1
Chirurgia ogólna;"Samodzielny Publiczny Specjalistyczny Szpital Zachodni
im. św. Jana Pawła II";Oddział Chirurgii Ogólnej;"ul. Daleka 11 05-825 Grodzisk
Mazowiecki";0
Chirurgia ogólna;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w
Mińsku Mazowieckim";Oddział Chirurgiczny;"ul. Szpitalna 37 05-300 Mińsk
Mazowiecki";0
Chirurgia ogólna;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Mławie";Oddział Chirurgii Ogólnej;ul. Anny Dobrskiej 1 06-500 Mława;1
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Kozienicach";Oddział Chirurgii Ogólnej;"ul. Aleja Władysława Sikorskiego 10
26-900 Kozienice";1
Chirurgia ogólna;"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ";Oddział chirurgii ogólnej;"ul. Jędrzeja Śniadeckiego 2 27-300
Lipsko";1
Chirurgia ogólna;"POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W
RESTRUKTURYZACJI";Oddział Chirurgiczny;"ul. Stefana Batorego 44 05-400
Otwock";1
Chirurgia ogólna;"Mazowiecki Szpital Specjalistyczny im. dr. Józefa
Psarskiego w Ostrołęce";"Oddział Chirurgii Ogólnej im. dr
Jerzego Olszewskiego, Poradnia
chirurgii ogólnej";"ul. Aleja Jana Pawła II 120A 07-410
Ostrołęka";1
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Ostrowi Mazowieckiej";"Oddział Chirurgii Ogólnej,
Poradnia Chirurgii Ogólnej";"ul. Stanisława Duboisa 68 07-300
Ostrów Mazowiecka";3
Chirurgia ogólna;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej,
Endokrynologicznej i Chorób
Naczyń";"ul. Stefana Banacha 1A 02-097
Warszawa";3
Chirurgia ogólna;"""EMC PIASECZNO"" SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ";"NIEPUBLICZNY ZAKŁAD OPIEKI
ZDROWOTNEJ SZPITAL ŚW. ANNY
W PIASECZNIE Oddział Chirurgii
Ogólnej";ul. Mickiewicza 39 05-500 Piaseczno;1
Chirurgia ogólna;Wojewódzki Szpital Zespolony;"I Oddział Chirurgii Ogólnej i
Onkologicznej";ul. Medyczna 19 09-400 Płock;0
Chirurgia ogólna;Wojewódzki Szpital Zespolony;"II Oddział Chirurgii Ogólnej i
Onkologicznej";ul. Medyczna 19 09-400 Płock;3
Chirurgia ogólna;"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W
PŁOŃSKU";"Oddział chirurgiczny z
pododdziałem urologicznym";"ul. Henryka Sienkiewicza 7 09-100
Płońsk";0
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Przasnyszu";Oddział Chirurgiczny;ul. Sadowa 9 06-300 Przasnysz;1
Chirurgia ogólna;"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ W PRUSZKOWIE";Oddział Chirurgiczny;"ul. Armii Krajowej 2/4 05-800
Pruszków";0
Chirurgia ogólna;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w
Siedlcach Spółka z ograniczoną odpowiedzialnością";"Siedlecki Szpital Specjalistyczny
Oddział Chirurgii Ogólnej i
Naczyniowej";"ul. Księcia Józefa Poniatowskiego 26
08-110 Siedlce";2
Chirurgia ogólna;Samodzielny Publiczny Zakład Opieki Zdrowotnej;Oddział Chirurgiczny;ul. Starowiejska 15 08-110 Siedlce;1
Chirurgia ogólna;"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";Oddział Chirurgii Ogólnej;"ul. Adolfa Tochtermana 1 26-610
Radom";3
Chirurgia ogólna;"SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ
W SOKOŁOWIE PODLASKIM";Oddział Chirurgiczny Ogólny;"ul. Księdza Bosco 5 08-300 Sokołów
Podlaski";1
Chirurgia ogólna;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Transplantacyjnej
i Wątroby";"ul. Stefana Banacha 1A 02-097
Warszawa";3
