place;address;availability
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół
Szpitali Miejskich,
Oddział Hematologii i Onkologii Dziecięcej
(41- 500 Chorzów, ul. Władysława Truchana 7)";"41-500 Chorzów
ul. Strzelców
Bytomskich 11";4
"Górnośląskie Centrum Zdrowia Dziecka im. św. Jana Pawła II
Samodzielny Publiczny Szpital Kliniczny Nr 6 Śląskiego
Uniwersytetu Medycznego w Katowicach,
Klinika Pediatrii - Oddział Onkologii, Hematologii i
Chemioterapii";"40-752 Katowice
ul. Medyków 16";0
"Samodzielny Publiczny Szpital Kliniczny Nr 1 im. prof.
Stanisława Szyszko Śląskiego Uniwersytetu Medycznego w
Katowicach,
Oddział Hematologii i Onkologii Dziecięcej";"41-800 Zabrze
ul. 3 Maja 13-15";7
Onkologia kliniczna;;
"Beskidzkie Centrum Onkologii - Szpital Miejski im. Jana Pawła
II w Bielsku- Białej,
Katedra i Klinika Onkologii
(43-300 Bielsko- Biała, ul. Wyspiańskiego 21)";"43-300 Bielsko- Biała
ul. Wyzwolenia 18";0
"Wojewódzki Szpital Specjalistyczny nr 4 w Bytomiu,
Oddział O nkologii Klinicznej";"41-902 Bytom
Aleja Legionów 10";5
"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi
Panny,
Oddział Onkologii z Pododdziałem Dziennym Chemioterapii z
Poradnią Onkologii";"42- 200 Częstochowa
ul. Bialska 104/118";3
"Zagłębiowskie Cent rum Onkologii Szpital Specjalistyczny im.
Sz. Starkiewicza w Dąbrowie Górniczej,
Oddział Onkologii Klinicznej";"41- 300 Dąbrowa
Górnicza
ul. Szpitalna 13";1
"Katowickie Centrum Onkologii,
Oddział Onkologiczny
(40-074 Katowice, ul. Raciborska 27)";"40-074 Katowice
ul. Raciborska 26";3
"Katowickie Centrum Onkologii,
Oddział Onkologiczny z Pododdziałem Chorób Wewnętrznych
(40-074 Katowice, ul. Raciborska 27 )";"40-074 Katowice
ul. Raciborska 26";5
"Samodzielny Publiczny Szpital Kliniczny im. Andrzeja
Mielęckiego Śląskie go Uniwersytetu Medycznego w Katowicach,
Oddział Chorób Wewnętrznych i Chemioterapii Onkologicznej
(40- 029 Katowice, ul. Władysława Stanisława Reymonta 8)";"40-027 Katowice
ul. Francuska 20/24";2
"Uniwersyteckie Centrum Kliniczne im. prof. K. Gibińskiego
Śląs kiego Uniwersytetu Medycznego w Katowicach,
Oddział Onkologii Klinicznej II";"40-514 Katowice
ul. Ceglana 35";8
"Uniwersyteckie Centrum Kliniczne im. prof. K. Gibińskiego
Śląskiego Uniwersytetu Medycznego w Katowicach,
Szpital Ceglana Oddział Onkologii Klinic znej, Poradnia
Onkologiczna";"40-514 Katowice
ul. Ceglana 35";1
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki
Szpital Specjalistyczny Nr 3 w Rybniku,
Oddział Onkologiczny";"44-200 Rybnik
ul. Energetyków 46";4
"Wojewódzki Szpital Specjalistyczny Nr 5 im. św. Barbary w
Sosnowcu,
Oddział Onkologii Klinicznej/Chemioterapii";"41-200 Sosnowiec
ul. Pl. Medyków 1";1
"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ-CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY,
Szpital Instytutu Oddziału w Gliwicach, II Klinika Radioterapii i
Chemioterapii
(44-102 Gliwice, ul. Wybrzeże Armii Krajowej 15)";"02-781 Warszawa
ul. Wilhelma
Konrada Roentgena 5";1
"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ -CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY,
Szpital Instytutu Oddziału w Gliwicach, III K linika Radioterapii i
Chemioterapii
(44- 102 Gliwice, ul. Wybrzeże Armii Krajowej 15)";"02-781 Warszawa
ul. Wilhelma
Konrada Roentgena 5";15
Neurologia;;
Szpital Wojewódzki w Bielsku Białej, -Oddział Neurologiczny;"43-316 Bielsko- Biała
Aleja Armii
Krajowej 101";4
"Wojewódzki Szpital Specjalistyczny nr 4 w Bytomiu,
Oddział Neurologii z Pododdziałem Udarowym";"41-902 Bytom
Aleja Legionów 10";3
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół
Szpitali Miejskich,
Oddział Neurologiczny z Pododdziałem Udarowym";"41- 500 Chorzów
ul. Strzelców
Bytomskich 11";5
"Zespół Zakładów Opieki Zdrowotnej w Cieszynie,
Szpital Śląski Oddział Neurologiczny";"43-400 Cieszyn
ul. Bielska 4";2
"POWIATOWY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ,
Oddział neurologiczny";"41- 250 Czeladź
ul. Szpitalna 40";3
"Miejski Szpital Zespolony,
Oddział Neurologiczny, Oddział Udarowy";"42- 200 Częstochowa
ul. Mirowska 15";2
"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi
Panny,
Oddział Neurologii";"42- 200 Częstochowa
ul. Bialska 104/118";3
"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi
Panny,
Oddział Neurologii
(42- 200 Częstochowa, ul. Polskiego Czerwonego Krzyża 7)";"42- 200 Częstochowa
ul. Bialska 104/118";1
"Zagłębiowskie Centrum Onkologii Szpital Specjalistyczny im.
Sz. Starkiewicza w Dąbrowie Górniczej,
Oddział Neu rologiczny";"41- 300 Dąbrowa
Górnicza
ul. Szpitalna 13";5
"VITO- MED Spółka z ograniczoną odpowiedzialnością,
Oddział Neurologii, Oddział Udarowy";"44-100 Gliwice
ul. Radiowa 2";8
"Wojewódzki Szpital Specjalistyczny Nr 2 w Jastrzębiu -Zdroju,
Oddział Neurologii";"44- 330 Jastrzębie -Zdrój
Aleja Jana Pawła II 7";7
"Szpital Wielospecjalistyczny w Jaworznie,
Oddział Neurologii";"43-602 Jaworzno
ul. Józefa
Chełmońskiego 28";4
"Górnośląskie Centrum Medyczne im. prof. Leszka Gieca
Śląskiego Uniwersytetu Medycznego w Katowicach,
O ddział Neurologii";"40-635 Katowice
ul. Ziołowa 45 -47";2
"Uniwersyteckie Centrum Kliniczne im. prof. K. Gibińskiego
Śląskiego Uniwersytetu Medycznego w Katowicach,
Oddział Neurologii, Oddział Udarowy
(40-752 Katowice, ul. Medyków 14)";"40-514 Katowice
ul. Ceglana 35";12
"Szpital Miejski w Rudzie Śląskiej Sp. z o.o.,
Oddział Neurologiczny";"41-703 Ruda Śląska
ul. Wincentego Lipa
2";2
"Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki
Szpital Specjalistyczny Nr 3 w Rybniku,
Oddział Neurologiczny";"44-200 Rybnik
ul. Energetyków 46";1
"Sosnowiecki Szpital Miejski Sp. z o.o.,
Oddział Neurologii";"41-219 Sosnowiec
ul. Szpitalna 1";7
"Wojewódzki Szpital Specjalistyczny Nr 5 im. Św. Barbary w
Sosnowcu,
Oddział Neurologii";"41-200 Sosnowiec
Plac Medyków 1";5
"Zespół Opieki Zdrowotnej w Świętochłowicach spółka z
ograniczoną odpowiedzialnością,
Oddział Neurologiczny
(41- 605 Świętochłowice, ul. Chorzowska 36)";"40-605
Świętochłowice
ul. Chorzowska 38";2
"Wielospecjalistyczny Szpital Powiatowy S.A.,
Oddział Neurologiczny z Pododdziałe m Udarowym";"42-612 Tarnowskie
Góry
ul. Pyskowicka 47-51";9
"Megrez Spółka z ograniczoną odpowiedzialnością,
Wojewódzki Szpital Specjalistyczny Oddział Neurologiczny i
Oddział Udarowy";"43-100 Tychy
ul. Edukacji 102";2
"Powiatowy Publiczny Zakład Opieki Zdrowotnej w Rydułtowach
i Wodzisławiu Śląskim z siedzibą w Wodzisławiu Śląskim,
Oddział Neurologiczny z Pododdziałem Udarowym";"44- 300 Wodzisław
Śląski
ul. 26 Marca 51";1
"Samodzielny Publiczny Szpital Kliniczny Nr 1 im. prof.
Stanisława Szyszko Śląskiego Uniwersyte tu Medycznego w
Katowicach,
Oddział Neurologiczny";"41-800 Zabrze
ul. 3 Maja 13-15";3
"SZPITAL MIEJSKI W ZABRZU SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ, Oddział Neurologii z Pododdziałem
Udarowym";"ul. Zamkowa 4
41-803 Zabrze";11
"Szpital Powiatowy w Zawierciu,
Oddział Neurologiczny z Pododdziałem Udarowym";"42-400 Zawiercie
ul. Miodowa 14";5
Reumatologia;;
"SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI
ZDROWOTNEJ SZPITAL SPECJALISTYCZNY NR I W
BYTOMIU,
Oddział Reumatologii i Rehabilitacji";"41-902 Bytom
ul. Stefana
Żeromskiego 7";0
"Wojewódzki Szpital Specjalistyczny im. Najświętszej Maryi
Panny,
Oddział Reumatologii
(42- 200 Częstochowa, ul. Polskiego Czerwonego Krzyża 7)";"42- 200 Częstochowa
ul. Bialska 104/118";0
"Uzdrowisko Goczałkowice Zdrój, Sp. z o.o., Szpital -Reumatologiczno-Rehabilitacyjny,
Oddział I Reumato logiczny";"43-230
Goczałkowice Zdrój -ul. Uzdrowiskowa 54";2
"Górnośląskie Centrum Medyczne im. prof. Leszka Gieca
Śląskiego Uniwersytetu Medycznego w Katowicach,
Oddział Chorób Wewnętrznych i Reumatologii";"40-635 Katowice
ul. Ziołowa 45 -47";0
"SZPITAL MURCKI SP ÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ,
Oddział Reumatologiczny, Poradnia Reumatologiczna";"40-749 Katowice
ul. Alfreda
Sokołowskiego 2";0
"Centrum Pediatrii im. Jana Pawła II w Sosnowcu Sp z o.o.,
Oddział Reumatologczny";"41-218 Sosnowiec
ul. Gabrieli
Zapolskiej 3";2
"Wojewódzki Szpital Specjalistyczny Nr 5 im. Św. Barbary w
Sosnowcu,
Oddział Reumatologii";"41-200 Sosnowiec
Plac Medyków 1";1
"ŚLĄSKIE CENTRUM REUMATOLOGII, REHABILITACJI I
ZAPOBIEGANIA NIEPEŁNOSPRAWNOŚCI IM. GEN.
JERZEGO ZIĘTKA W USTRONIU SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,
Oddział I Reumatologiczny";"43- 450 Ustroń
ul. Szpitalna 11";2
"ŚLĄSKIE CENTRUM REUMATOLOGII, REHABILITACJI I
ZAPOBIEGANIA NIEPEŁNOSPRAWNOŚCI IM. GEN.
JERZEGO ZIĘTKA W USTRONIU SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,
Oddział II Reumatologiczny";"43- 450 Ustroń
ul. Szpitalna 11";1
