place;address;availability
"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wrocławiu, Klinika Anestezjologii i Intensywnej Terapii";"50- 556 Wrocław ul. Borowska 213";18
"Wojewódzki Szpital Specjalistyczny we Wrocławiu, Oddział Anestezjologii i Intensywnej Terapii";"51- 124 Wrocław ul. Henryka Michała Kamieńskiego 73 A";3
"Wielospecjalistyczny Szpital - Samodzielny Publiczny Zespół Opieki Zdrowotnej w Zgorzelcu, Oddział Anestezjologii i Intensywnej Terapii";"59-900 Zgorzelec ul. Lubańska 11/12";1
"Endokrynologia";;
"4 Wojskowy Szpital Kliniczny z Polikliniką Samodzielny Publiczny Zakład Opieki Zdrowotnej we Wrocławiu, Kliniczny Oddział Endokrynologii, Pododdział Diabetologii i Chorób Metabolicznych";"50-981 Wrocław ul. Rudolfa Weigla 5";x
"Dolnośląski Szpital Specjalistyczny im. T. Marciniaka -Centrum Medycyny Ratunkowej, Oddział Endokrynologii, Diabetologii i Chorób Wewnętrznych";"54- 049 Wrocław ul. gen. Augusta Emila Fieldorfa 2";3
"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Rade ckiego we Wrocławiu, Klinika Endokrynologii, Diabetologii i Leczenia Izotopami (50-36 7 Wrocław, ul. Wyb. Ludwika Pasteura 4) *)";"50- 556 Wrocław ul. Borowska 213";1
"Hematologia";;
"Wojewódzki Szpital Specjalistyczny w Legnicy, Oddział Hematologiczny";"59-220 Legnica ul. Jarosława Iwaszkiewicza 5";2
"Specjalistyczny Szpital im. dra Alfreda Sokołowskiego, Oddział Hematologiczny";"58- 309 Wałbrzych ul. Alfreda Sokołowskiego 4";3
"Dolnośląskie Centrum Onkolo gii, Pulmonologii i Hematologii, Oddział H ematologiczny (53- 439 Wrocław, ul. Grabiszyńska 105)";"53-413 Wr ocław ul. pl. Ludwika Hirszfelda 12";0
"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wrocławiu, Klin ika Hematologii, Nowotworów Krwi i Transplantacji Szpiku (50- 367 Wrocław, ul . Wyb. Ludwika Pasteura 4)";"50- 556 Wrocław ul. Borowska 213";2
"Reumatologia";;
"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Świdnicy, Oddział Reumatologiczny z Pododdziałem Rehabilitacyjnym (58-130 Żarów, ul. Wojska Polskiego 7)";"58-100 Świdnica ul. Leśna 27-29";3
"Dolnośląski Szpital Specjalistyczny im. T. Marciniaka - Centrum Medycyny Ratunkowej, Oddział Reumatologii i Chorób Wewnętrznych";"54-049 Wrocław ul. gen. Augusta Emila Fieldorfa 2";0
"Uniwersytecki Szpital Kliniczny im. Jana MikuliczaRadeckiego we Wrocławiu, Klinika Reumatologii i Chorób Wewnętrznych 1 miejsce dla szkoły doktorskiej";"50-556 Wrocław ul. Borowska 213";1
"Onkologia kliniczna";;
"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wrocławiu, Klinika Hematologii, Nowotworów Krwi i Transplantacji Szpiku (50-367 Wrocław, ul. Wyb. Ludwika Pasteura 4)";"50-556 Wrocław ul. Borowska 213";4
"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej, Oddział Onkologiczny";"58-506 Jelenia Góra ul. Michała Kleofasa Ogińskiego 6";3
"MIEDZIOWE CENTRUM ZDROWIA SPÓŁKA AKCYJNA, Oddział Onkologiczny (Chemioterapii) (59-301 Lubin, ul. Marii Skłodowskiej-Curie 54)";"59-301 Lubin ul. Marii SkłodowskiejCurie 66";7
"Specjalistyczny Szpital im. dra Alfreda Sokołowskiego, Oddział Onkologiczny";"58-309 Wałbrzych ul. Alfreda Sokołowskiego 4";4
"4 Wojskowy Szpital Kliniczny z Polikliniką Samodzielny Publiczny Zakład Opieki Zdrowotnej we Wrocławiu, Klinika Chorób Wewnętrznych, Oddział Chemioterapii Onkologicznej z Poradnią Onkologiczną";"50-981 Wrocław ul. Rudolfa Weigla 5";x
"Dolnośląskie Centrum Onkologii, Pulmonologii i Hematologii, Oddział Onkologii Klinicznej (53-439 Wrocław, ul. Grabiszyńska 105)";"53-413 Wrocław ul. pl. Ludwika Hirszfelda 12";0
"Dolnośląskie Centrum Onkologii, Pulmonologii i Hematologii, Oddział Onkologii Klinicznej/Chemioterapii";"53-413 Wrocław Plac Ludwika Hirszfelda 12";4
"Wojewódzki Szpital Specjalistyczny we Wrocławiu, Oddział Chemioterapii z Pododdziałem Chemioterapii Dziennej";"51-124 Wrocław ul. Henryka Michała Kamieńskiego 73A";0
"Wielospecjalistyczny Szpital - Samodzielny Publiczny Zespół Opieki Zdrowotnej w Zgorzelcu, ODDZIAŁ ONKOLOGII KLINICZNEJ";"59-900 ZGORZELEC ul. LUBAŃSKA 11-12";3
"Neurologia";;
"Zespół Opieki Zdrowotnej w Bolesławcu, Oddział Neurologiczny";"59-700 Bolesławiec ul. Jeleniogórska 4 2";2
"Głogowski Szpital Powiatowy Sp. z o.o., Oddział Neurologiczny i leczenia udarów mózgu";"67-200 Głogów ul. Tadeusza Kościuszki 15 2";2
"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej, Oddział Neurologiczny";"58-506 Jelenia Góra ul. Michała Kleofasa Ogińskiego 6 5";5
"Zespół Opieki Zdrowotnej w Kłodzku, Oddział Neurologiczny (57-300 Kłodzko, ul. Szpitalna 1)";"57-300 Kłodzko ul. Szpitalna 1A 7";7
"Wojewódzki Szpital Specjalistyczny w Legnicy, Oddział Neurologiczny z Pododdziałem Udarowym";"59-220 Legnica ul. Jarosława Iwaszkiewicza 5 9";9
"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Świdnicy, Oddział Neurologiczny z Pododdziałem Udarowym";"58-100 Świdnica ul. Leśna 27-29 2";2
"Specjalistyczny Szpital im. dra Alfreda Sokołowskiego, Oddział Neurologiczny";"58-309 Wałbrzych ul. Sokołowskiego 4 3";3
"4 Wojskowy Szpital Kliniczny z Polikliniką Samodzielny Publiczny Zakład Opieki Zdrowotnej we Wrocławiu, Kliniczny Oddział Neurologiczny";"50-981 Wrocław ul. Rudolfa Weigla 5 x";0
"Dolnośląski Szpital Specjalistyczny im. T. Marciniaka - Centrum Medycyny Ratunkowej, Oddział Neurologii z Pododdziałem Udarowym";"54-049 Wrocław ul. gen. Augusta Emila Fieldorfa 2";0
"Uniwersytecki Szpital Kliniczny im. Jana MikuliczaRadeckiego we Wrocławiu, Klinika Neurologii";"50-556 Wrocław ul. Borowska 213 3";3
"Wojewódzki Szpital Specjalistyczny im. J. Gromkowskiego, III Oddział Neurologii z Pododdziałem Udarowym";"51-149 Wrocław ul. Koszarowa 5 0";0
"Wielospecjalistyczny Szpital - Samodzielny Publiczny Zespół Opieki Zdrowotnej w Zgorzelcu, Oddział Neurologiczny z Pododdziałem Udarowym";"59-900 Zgorzelec ul. Lubańska 11/12 9";9
